iter	Passed	Remaining
0	1	123
1	2	125
2	3	115
3	4	104
4	5	99
5	6	99
6	7	97
7	8	94
8	9	91
9	10	90
10	11	91
11	12	90
12	13	89
13	14	90
14	15	90
15	16	88
16	17	86
17	18	85
18	19	83
19	21	84
20	22	82
21	23	81
22	24	80
23	25	79
24	26	78
25	27	78
26	28	77
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	69
33	35	69
34	36	67
35	37	66
36	38	66
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	43	58
43	44	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	63	40
61	63	39
62	64	38
63	66	37
64	67	36
65	69	35
66	70	34
67	71	33
68	72	32
69	74	31
70	75	30
71	76	29
72	77	28
73	77	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	98	8
92	99	7
93	100	6
94	101	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
